Гольцов Валерий Леонидович	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012612	24.07.1963	Всероссийская политическая партия «Гражданская Сила»	19Удмуртская Республика	1	выдвинут	зарегистрирован
Аверкин Владимир Фадеевич	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012613	12.09.1960	Всероссийская политическая партия «Гражданская Сила»	19Удмуртская Республика	2	выдвинут	зарегистрирован
Кривопуст Людмила Вениаминовна	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012614	07.05.1948	Всероссийская политическая партия «Гражданская Сила»	19Удмуртская Республика	3	выдвинут	зарегистрирован
Горчакова Галина Михайловна	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012615	14.09.1959	Всероссийская политическая партия «Гражданская Сила»	20Республика Хакасия	1	выдвинут	зарегистрирован
Зубкова Ирина Владимировна	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012616	12.02.1956	Всероссийская политическая партия «Гражданская Сила»	20Республика Хакасия	2	выдвинут	зарегистрирован
Гришанина Полина Дмитриевна	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012617	10.01.1986	Всероссийская политическая партия «Гражданская Сила»	21Чеченская Республика	1	выдвинут	зарегистрирован
Мамаев Сергей Валентинович	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012618	30.05.1955	Всероссийская политическая партия «Гражданская Сила»	22Алтайский край	1	выдвинут	зарегистрирован
Корчагин Анатолий Иванович	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012619	01.01.1954	Всероссийская политическая партия «Гражданская Сила»	22Алтайский край	2	выдвинут	зарегистрирован
Криволуцкий Олег Анатольевич	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012620	09.06.1962	Всероссийская политическая партия «Гражданская Сила»	22Алтайский край	3	выдвинут	зарегистрирован
Сташко Василий Иванович	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012621	21.11.1963	Всероссийская политическая партия «Гражданская Сила»	22Алтайский край	4	выдвинут	зарегистрирован
Чиркина Александра Сергеевна	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012622	27.09.1984	Всероссийская политическая партия «Гражданская Сила»	23Камчатский край	1	выдвинут	зарегистрирован
Теверовский Сергей Игоревич	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012623	08.07.1976	Всероссийская политическая партия «Гражданская Сила»	23Камчатский край	2	выдвинут	зарегистрирован
Андреев Алексей Петрович	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012624	17.02.1958	Всероссийская политическая партия «Гражданская Сила»	24Краснодарский край - Краснодарская, Краснодарский край - Крымская, Краснодарский край - Сочинская	1	выдвинут	зарегистрирован
Иджян Ашот Амаякович	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012625	27.05.1955	Всероссийская политическая партия «Гражданская Сила»	24Краснодарский край - Краснодарская, Краснодарский край - Крымская, Краснодарский край - Сочинская	2	выдвинут	зарегистрирован
Дьяконов Василий Николаевич	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012626	25.07.1946	Всероссийская политическая партия «Гражданская Сила»	25Краснодарский край - Каневская, Краснодарский край - Усть-Лабинская	1	выдвинут	зарегистрирован
Щербак Петр Петрович	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012627	16.05.1951	Всероссийская политическая партия «Гражданская Сила»	25Краснодарский край - Каневская, Краснодарский край - Усть-Лабинская	2	выдвинут	зарегистрирован
Капитун Иван Иванович	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012628	05.11.1953	Всероссийская политическая партия «Гражданская Сила»	25Краснодарский край - Каневская, Краснодарский край - Усть-Лабинская	3	выдвинут	зарегистрирован
Тетельмин Владимир Владимирович	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012629	19.08.1944	Всероссийская политическая партия «Гражданская Сила»	26Красноярский край	1	выдвинут	зарегистрирован
Сергеев Анатолий Николаевич	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012630	29.11.1972	Всероссийская политическая партия «Гражданская Сила»	26Красноярский край	2	выдвинут	зарегистрирован
Некрасов Владимир Иванович	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012631	30.11.1965	Всероссийская политическая партия «Гражданская Сила»	26Красноярский край	3	выдвинут	зарегистрирован
Бурнашов Алексей Леонидович	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012632	28.06.1973	Всероссийская политическая партия «Гражданская Сила»	27Пермский край	1	выдвинут	зарегистрирован
Вахрин Вячеслав Михайлович	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012633	17.07.1967	Всероссийская политическая партия «Гражданская Сила»	27Пермский край	2	выдвинут	зарегистрирован
Давлетшин Игорь Раисович	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012634	07.05.1964	Всероссийская политическая партия «Гражданская Сила»	27Пермский край	3	выдвинут	зарегистрирован
Васильев Александр Александрович	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012635	24.06.1963	Всероссийская политическая партия «Гражданская Сила»	27Пермский край	4	выдвинут	зарегистрирован
Чепокова Елена Владимировна	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012636	20.07.1967	Всероссийская политическая партия «Гражданская Сила»	27Пермский край	5	выдвинут	зарегистрирован
Величко Игорь Васильевич	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012637	08.03.1964	Всероссийская политическая партия «Гражданская Сила»	28Приморский край	1	выдвинут	зарегистрирован
Ежов Олег Владимирович	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012638	22.07.1976	Всероссийская политическая партия «Гражданская Сила»	28Приморский край	2	выдвинут	зарегистрирован
Ковалев Илья Николаевич	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012639	14.09.1976	Всероссийская политическая партия «Гражданская Сила»	28Приморский край	3	утративший статус выдвинутого кандидата	
